Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,source_file
J. Irving Whalley,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Joseph Smith,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Kenneth Robinson,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. L. Pilcher,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Leroy Adair,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Leroy Johnson,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Lincoln Newhall,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Lister Hill,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Mark Wilcox,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. McKenzie Moss,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Murray Hooker,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. N. Langham,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Proctor Knott,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Robert Lamar,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Roland Kinzer,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Ross Mickey,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Russell Tuten,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Scott Wolff,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Stanley Webster,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Swagar Sherley,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Twing Brooks,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Van Vechten Olcott,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. W. Robinson,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Warren Keifer,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Wiley Edmands,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Will Taylor,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. Willard Ragsdale,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. William Ditter,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. William Stanton,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
J. William Stokes,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jabez Delano Hammond,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jabez G. Sutherland,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jabez Lamar Monroe Curry,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jabez Leftwich,Male,United States,Jacksonian Democracy,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jabez W. Huntington,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jack Bergman,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2025,,Current,RepJackBergman,query.csv
Jack Bergman,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2023,2025,Former,RepJackBergman,query.csv
Jack Bergman,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2019,2021,Former,RepJackBergman,query.csv
Jack Bergman,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2021,2023,Former,RepJackBergman,query.csv
Jack Buechner,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jack Davis,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jack English Hightower,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jack H. McDonald,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jack Kemp,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jack Thomas Brinkley,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jack Westland,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jackie Speier,Female,United States,Democratic Party,Member of the US House of Representatives,Executive,2021,,Current,RepSpeier,query.csv
Jackie Speier,Female,United States,Democratic Party,Member of the US House of Representatives,Executive,2019,2021,Former,RepSpeier,query.csv
Jackie Walorski,Female,United States,Republican Party,Member of the US House of Representatives,Executive,2021,2022,Former,RepWalorski,query.csv
Jackie Walorski,Female,United States,Republican Party,Member of the US House of Representatives,Executive,2019,2021,Former,RepWalorski,query.csv
Jackson B. Chase,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jackson Edward Betts,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jackson Orr,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob A. Ambler,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob A. Cantor,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob A. Garber,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Alexander Preston,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Atlee Beidler,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Augustus Geissenhainer,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob B. Blair,Male,United States,Unconditional Union Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Banks Kurtz,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Benton,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Brinkerhoff,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob C. Davis,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob C. Isacks,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Call,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Collamer,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Crocheron,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Crowninshield,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob D. Leighty,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob E. Davis,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Edwin Meeker,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Erdman,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
"Jacob Fry, Jr.",Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Golladay,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob H. Bromwell,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob H. De Witt,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob H. Gilbert,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob H. Stewart,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Harold Gallinger,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Hart Ela,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Hostetter,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Houck,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Hufty,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob J. Pugsley,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Javits,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Johnson,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Kerlin McKenty,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Krebs,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob L. Milligan,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob LeFever,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob M. Howard,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Markell,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Michael Kunkel,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Miller Campbell,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Montgomery Thornburgh,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob P. Chamberlain,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Pitzer Cowan,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob R. Wortendyke,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Richards,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Romeis,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Senewell Yost,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Sloat Fassett,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Spangler,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Swoope,Male,United States,Federalist Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Thompson,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Thompson Baker,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Thorkelson,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Turney,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jacob Tyson,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
Jahana Hayes,Female,United States,Democratic Party,Member of the US House of Representatives,Executive,2019,2021,Former,JahanaHayesCT,query.csv
Jahana Hayes,Female,United States,Democratic Party,Member of the US House of Representatives,Executive,2021,,Current,JahanaHayesCT,query.csv
Jaime Herrera Beutler,Female,United States,Republican Party,Member of the US House of Representatives,Executive,2019,2021,Former,HerreraBeutler,query.csv
Jaime Herrera Beutler,Female,United States,Republican Party,Member of the US House of Representatives,Executive,2021,,Current,HerreraBeutler,query.csv
Jaime Herrera Beutler,Female,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,HerreraBeutler,query.csv
Jake Auchincloss,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,2023,2025,Former,RepAuchincloss,query.csv
Jake Auchincloss,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,2021,2023,Former,RepAuchincloss,query.csv
Jake Auchincloss,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,2025,,Current,RepAuchincloss,query.csv
Jake Ellzey,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2021,,Current,,query.csv
Jake LaTurner,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2023,,Current,RepLaTurner,query.csv
Jake LaTurner,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2021,2023,Former,RepLaTurner,query.csv
Jamaal Bowman,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,2021,2023,Former,JamaalBowmanNY,query.csv
Jamaal Bowman,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,2023,,Current,JamaalBowmanNY,query.csv
James A. Black,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Byrne,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Connolly,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Cravens,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. D. Richards,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Frear,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Gallagher,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Gallivan,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Haley,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Hemenway,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Hughes,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Johnson,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Lockhart,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Louttit,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. McClure,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. McDougall,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. McKenzie,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Meeks,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Norton,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. O'Leary,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Roe,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Shanley,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Walker,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James A. Wright,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Abdnor,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Abercrombie,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Adams Stallworth,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Albertus Tawney,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Alexander Daugherty,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
"James Alexander, Jr.",Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
"James Allison, Jr.",Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Alonzo Stahle,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Alphonsus Hamill,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Andrew Beall,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Anthony Burke,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Archibald Meriwether,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Armstrong,Male,United States,Pro-Administration Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Augustus Stewart,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Beck,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Bowlin,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Foley,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Hunt,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. McCreary,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. McKean,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Morgan,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Reed,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Reynolds,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Spencer,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Utt,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James B. Weaver,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bain White,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bamford White,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bates,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bede,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Benjamin Aswell,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bernard Reilly,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Beverley Sener,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bilbray,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Birdsall,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bishop,Male,United States,Opposition Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Black,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Blair,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Blanchard,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bouldin,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Bowen Everhart,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Breck Perkins,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Breckinridge,Male,United States,Federalist Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Broadhead,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Brooks,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Brown Clay,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Brown Mason,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Buchanan,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Buchanan Richmond,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Budd,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Buffington,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Burns Belford,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Alvord,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. C. Black,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Corman,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Freeman,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Harper,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Healey,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. McDearmon,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. McLaughlin,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Murray,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Needham,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Oliver,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James C. Terrell,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Caldwell,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Capehart,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Carr,Male,United States,Federalist Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Carroll,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Carroll Robinson,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Carson Gardner,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Castle,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Chrisman,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Clark,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Cochran,Male,United States,Federalist Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Coffield Mitchell,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Colgate Cleveland,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Collier,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Comer,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2019,2021,Former,KYComer,query.csv
James Comer,Male,United States,Republican Party,Member of the US House of Representatives,Executive,2021,,Current,KYComer,query.csv
James Cooney,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Cooper,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Cox,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Craig,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Curran Davis,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James D. Breckinridge,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
James D. Martin,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James D. Post,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James D. Weaver,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James D. Williams,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Dale Strawbridge,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James De La Montanya,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Dellet,Male,United States,Whig Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Dennis Brady,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Dixon,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Domengeaux,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Duane Doty,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Duncan,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James E. Bromwell,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James E. Cobb,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James E. English,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James E. O'Hara,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James E. Rogan,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Earl Major,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Edmund Jeffries,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Edward Ruffin,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Edward Van Zandt,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Edwin Belser,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Elliot,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Emott,Male,United States,Federalist Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Ervin,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Burke,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Epes,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Fulbright,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Hastings,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Hughes,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Izlar,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Lloyd,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. McDowell,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
"James F. McNulty, Jr.",Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. O'Connor,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Randolph,Male,United States,,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Stewart,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James F. Strother,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Farrington,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Ferguson Dowdell,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Findlay,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Fisk,Male,United States,Democratic-Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Floyd Breeding,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Ford,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Francis Miller,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Frankland Briggs,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Franklin Battin,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James Franklin Clay,Male,United States,Democratic Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James G. Blaine,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
James G. Blair,Male,United States,Republican Party,Member of the US House of Representatives,Executive,,,Current,,query.csv
