Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,source_file
Alexander Graf Lambsdorff,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2023,Former,Lambsdorff,query (4).csv
Alexander Graf Lambsdorff,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,Lambsdorff,query (4).csv
Alexander Hoffmann,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,Hoffmann_MdB,query (4).csv
Alexander Hoffmann,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,Hoffmann_MdB,query (4).csv
Alexander Hoffmann,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,Hoffmann_MdB,query (4).csv
Alexander Jordan,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Alexander Krauß,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,alexanderkrauss,query (4).csv
Alexander Kulitz,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,AKulitz,query (4).csv
Alexander Müller,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,,Current,alexmuellerfdp,query (4).csv
Alexander Müller,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,alexmuellerfdp,query (4).csv
Alexander Neu,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,AlexanderSNeu,query (4).csv
Alexander Radwan,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,AlexanderRadwan,query (4).csv
Alexander Radwan,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,AlexanderRadwan,query (4).csv
Alexander Radwan,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,AlexanderRadwan,query (4).csv
Alexander Throm,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,alexander_throm,query (4).csv
Alexander Throm,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,alexander_throm,query (4).csv
Alexander Throm,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,alexander_throm,query (4).csv
Alexander Ulrich,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
Alexander Ulrich,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Alexander Wolf,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,AlexanderWolfHH,query (4).csv
Alexis Giersch,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,GierschMdB,query (4).csv
Ali Al-Dailami,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,2025,Former,,query (4).csv
Alice Weidel,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,Alice_Weidel,query (4).csv
Alice Weidel,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,Alice_Weidel,query (4).csv
Alice Weidel,Female,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,Alice_Weidel,query (4).csv
Alois Gerig,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
Alois Karl,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,presse_mdlkarl,query (4).csv
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,AloisRainer,query (4).csv
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,AloisRainer,query (4).csv
Alois Rainer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,AloisRainer,query (4).csv
Amira Mohamed Ali,Female,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,,Current,Amira_M_Ali,query (4).csv
Amira Mohamed Ali,Female,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2017,2021,Former,Amira_M_Ali,query (4).csv
Ana-Maria Trăsnea,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,,,Current,amtrasnea,query (4).csv
Andrea Lindholz,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,AndreaLindholz,query (4).csv
Andrea Lindholz,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,AndreaLindholz,query (4).csv
Andrea Lindholz,Female,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,AndreaLindholz,query (4).csv
Andrea Lübcke,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Andreas Audretsch,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,AnAudretsch,query (4).csv
Andreas Audretsch,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,AnAudretsch,query (4).csv
Andreas Bleck,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,andreasbleckmdb,query (4).csv
Andreas Bleck,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,andreasbleckmdb,query (4).csv
Andreas Bleck,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,andreasbleckmdb,query (4).csv
Andreas Jung,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Andreas Jung,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Andreas Jung,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
Andreas Larem,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,andreaslarem,query (4).csv
Andreas Lenz,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,DerLenzMdB,query (4).csv
Andreas Lenz,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,DerLenzMdB,query (4).csv
Andreas Lenz,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,DerLenzMdB,query (4).csv
Andreas Lämmel,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,AndreasLaemmel,query (4).csv
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,amattfeldt,query (4).csv
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2013,,Current,amattfeldt,query (4).csv
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,amattfeldt,query (4).csv
Andreas Mattfeldt,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,amattfeldt,query (4).csv
Andreas Mayer,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,AndreasMayerAfD,query (4).csv
Andreas Mehltretter,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,Mehli,query (4).csv
Andreas Mrosek,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,mrosek1958,query (4).csv
Andreas Nick,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,drandreasnick,query (4).csv
Andreas Paul,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,,query (4).csv
Andreas Philippi,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2023,Former,Andreas29095076,query (4).csv
Andreas Rimkus,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
Andreas Rimkus,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
Andreas Scheuer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,2024,Former,AndiScheuer,query (4).csv
Andreas Scheuer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,AndiScheuer,query (4).csv
Andreas Schwarz,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,Schwarz_MdB,query (4).csv
Andreas Schwarz,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,Schwarz_MdB,query (4).csv
Andreas Schwarz,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,Schwarz_MdB,query (4).csv
Andreas Steier,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,AndreasSteier,query (4).csv
Andreas Wagner,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,Andi_Wagner,query (4).csv
Andrej Hunko,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2017,2021,Former,AndrejHunko,query (4).csv
Andrej Hunko,Male,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,,Current,AndrejHunko,query (4).csv
Andrew Ullmann,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,UllmannMdB,query (4).csv
Andrew Ullmann,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,,Current,UllmannMdB,query (4).csv
André Berghegger,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,query (4).csv
André Berghegger,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,query (4).csv
