Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Peter Tauber,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,petertauber,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Peter Weiß,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,PeterWeissMdB,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Petr Bystron,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2024,Former,PetrBystronAfD,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Previous,
Petr Bystron,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,PetrBystronAfD,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Previous,
Petra Nicolaisen,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Petra Nicolaisen,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Petra Pau,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2021,,Current,PetraPauMaHe,True,100.0,f,Germany,The Left,,Legislative,Bundestag,2021,Incumbent,
Petra Pau,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,PetraPauMaHe,True,100.0,f,Germany,The Left,,Legislative,Bundestag,2021,Incumbent,
Petra Sitte,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,Petra_Sitte_MdB,True,100.0,f,Germany,The Left,,Legislative,Bundestag,2021,Incumbent,
Petra Sitte,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2021,,Current,Petra_Sitte_MdB,True,100.0,f,Germany,The Left,,Legislative,Bundestag,2021,Incumbent,
Philip Krämer,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,2025,Former,PhiKraemer,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Philipp Amthor,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Philipp Amthor,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Philipp Amthor,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Philipp Hartewig,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2025,Former,philipphartewig,True,100.0,m,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Pia-Beate Zimmermann,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,,False,82.35294117647058,f,Germany,The Left,,Legislative,Bundestag,2017,Previous,
Rainer Kraft,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,Dr_Rainer_Kraft,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Rainer Kraft,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,Dr_Rainer_Kraft,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Rainer Kraft,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,Dr_Rainer_Kraft,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Rainer Rothfuß,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2023,2025,Former,DrRothfuss,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2023,Incumbent,
Rainer Rothfuß,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,DrRothfuss,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2023,Incumbent,
Rainer Semet,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2025,Former,RainerSemet,True,100.0,m,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Rainer Spiering,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,rainerspiering,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2017,Previous,
Ralf Kapschack,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2017,Previous,
Ralf Stegner,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,Ralf_Stegner,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Ralf Stegner,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,Ralf_Stegner,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Ralph Brinkhaus,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,rbrinkhaus,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Ralph Brinkhaus,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,rbrinkhaus,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Ralph Brinkhaus,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,rbrinkhaus,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Ralph Edelhäußer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,edelhaeusser_ra,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Ralph Edelhäußer,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,edelhaeusser_ra,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Ralph Lenkert,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,rlenkert,True,100.0,m,Germany,The Left,,Legislative,Bundestag,2021,Incumbent,
Ralph Lenkert,Male,Germany,Die Linke,member of the German Bundestag,Legislative,2021,,Current,rlenkert,True,100.0,m,Germany,The Left,,Legislative,Bundestag,2021,Incumbent,
Rasha Nasr,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,rasha_nasr_,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rasha Nasr,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,rasha_nasr_,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rebecca Schamber,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,,False,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Reem Alabali Radovan,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,ReemAlabali,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Reem Alabali Radovan,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,ReemAlabali,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Reginald Hanke,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2023,Former,,False,100.0,m,Germany,FDP,,Legislative,Bundestag,2021,Previous,
Reginald Hanke,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2019,2021,Former,,False,100.0,m,Germany,FDP,,Legislative,Bundestag,2021,Previous,
Reinhard Brandl,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,reinhardbrandl,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Reinhard Brandl,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,reinhardbrandl,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Reinhard Brandl,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2025,,Current,reinhardbrandl,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Reinhard Brandl,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2013,,Current,reinhardbrandl,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Reinhard Houben,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,,Current,HoubenReinhard,True,100.0,m,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Reinhard Houben,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,HoubenReinhard,True,100.0,m,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Reinhold Sendker,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Renata Alt,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,,Current,RenataAlt_MdB,True,100.0,f,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Renata Alt,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,RenataAlt_MdB,True,100.0,f,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
René Bochmann,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,ReneBochmannMdB,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
René Bochmann,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,ReneBochmannMdB,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
René Röspel,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,reneroespel,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2017,Previous,
René Springer,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,Rene_Springer,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
René Springer,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,Rene_Springer,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
René Springer,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,Rene_Springer,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Ria Schröder,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,2025,Former,ria_schroeder,True,100.0,f,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Ricarda Lang,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,Ricarda_Lang,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Ricarda Lang,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,Ricarda_Lang,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Rita Hagl-Kehl,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,RitaHaglKehl,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rita Hagl-Kehl,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,RitaHaglKehl,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rita Schwarzelühr-Sutter,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,rischwasu,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rita Schwarzelühr-Sutter,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,rischwasu,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rita Schwarzelühr-Sutter,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,rischwasu,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Robby Schlund,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,DrRobbySchlund,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2017,Previous,
Robert Farle,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,2025,Former,robert_farle,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Robert Habeck,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,2025,Former,roberthabeck,True,100.0,m,Germany,Greens,Vice Chancellor,Executive,Vice Chancellor,2021,Previous,
Robert Habeck,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,2025,Former,roberthabeck,True,100.0,m,Germany,Greens,Vice Chancellor,Executive,Vice Chancellor,2021,Previous,
Robert Teske,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,RobertTeskeHB,True,83.33333333333334,m,Poland,Law and Justice,Minister of Agriculture and Rural Development,Executive,Council,2023,Previous,
Robin Mesarosch,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,mesarosch,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Robin Wagener,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,robinwagener,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Robin Wagener,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,robinwagener,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Roderich Kiesewetter,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,RKiesewetter,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Roderich Kiesewetter,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,RKiesewetter,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Roderich Kiesewetter,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,RKiesewetter,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Roger Beckamp,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,2025,Former,RogerBeckamp,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Roland Hartwig,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,R_Hartwig_AfD,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2017,Previous,
Rolf Mützenich,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rolf Mützenich,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rolf Mützenich,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Roman Müller-Böhm,Male,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,muellerboehm,True,100.0,m,Germany,FDP,,Legislative,Bundestag,2017,Previous,
Ronja Kemmer,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,RonjaKemmer,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Ronja Kemmer,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,RonjaKemmer,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Ronja Kemmer,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,RonjaKemmer,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Roy Kühne,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,Dr_Roy_Kuehne,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Rudolf Henke,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Ruppert Stüwe,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,stuewer,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Ruppert Stüwe,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,stuewer,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Rüdiger Kruse,Male,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,RuedigerKruse,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Rüdiger Lucassen,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2025,,Current,MdB_Lucassen,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2024,Incumbent,
Rüdiger Lucassen,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2021,,Current,MdB_Lucassen,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2024,Incumbent,
Rüdiger Lucassen,Male,Germany,Alternative for Germany,member of the German Bundestag,Legislative,2017,2021,Former,MdB_Lucassen,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2024,Incumbent,
Sabine Dittmar,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,dittmarsabine,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sabine Dittmar,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,dittmarsabine,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sabine Dittmar,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,dittmarsabine,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sabine Grützmacher,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,2025,Former,S_Gruetzmacher,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sabine Leidig,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,sabineleidig,True,100.0,f,Germany,The Left,,Legislative,Bundestag,2017,Previous,
Sabine Poschmann,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,SabinePoschmann,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sabine Poschmann,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,SabinePoschmann,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sabine Poschmann,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,SabinePoschmann,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sabine Weiss,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Sabine Weiss,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2021,,Current,,False,100.0,f,Germany,CDU,,Legislative,Bundestag,2021,Incumbent,
Sabine Zimmermann,Female,Germany,Die Linke,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,f,Germany,The Left,,Legislative,Bundestag,2017,Previous,
Sahra Wagenknecht,Female,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2021,,Current,SWagenknecht,True,100.0,f,Germany,BSW,,Legislative,Bundestag,2021,Incumbent,
Sahra Wagenknecht,Female,Germany,Sahra Wagenknecht Alliance,member of the German Bundestag,Legislative,2017,2021,Former,SWagenknecht,True,100.0,f,Germany,BSW,,Legislative,Bundestag,2021,Incumbent,
Sanae Abdi,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,_sanaeabdi,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sanae Abdi,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,_sanaeabdi,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sandra Bubendorfer-Licht,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,,Current,Bubendorferfdp,True,100.0,f,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Sandra Bubendorfer-Licht,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2019,2021,Former,Bubendorferfdp,True,100.0,f,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Sandra Detzer,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,detzer_sandra,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sandra Detzer,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,detzer_sandra,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sandra Stein,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,,False,80.0,,Italy,,Chamber of Deputies,Legislative,Lower-Chamber Parliament,,,
Sandra Weeser,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2021,,Current,sandra_weeser,True,100.0,f,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Sandra Weeser,Female,Germany,Free Democratic Party,member of the German Bundestag,Legislative,2017,2021,Former,sandra_weeser,True,100.0,f,Germany,FDP,,Legislative,Bundestag,2021,Incumbent,
Sara Nanni,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,SaraNanni,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sara Nanni,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,SaraNanni,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sarah Lahrkamp,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,2025,Former,slahrkamp,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sarah Ryglewski,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,RyglewskiS,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sarah Ryglewski,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,RyglewskiS,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sascha Müller,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,SaschaMuller,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sascha Müller,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,SaschaMuller,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sascha Raabe,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,,False,100.0,m,Germany,SPD,,Legislative,Bundestag,2017,Previous,
Saskia Esken,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,EskenSaskia,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Saskia Esken,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,EskenSaskia,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Saskia Esken,Female,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,EskenSaskia,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Saskia Ludwig,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2019,2021,Former,SaskiaLudwig17,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2019,Previous,
Saskia Ludwig,Female,Germany,Christian Democratic Union,member of the German Bundestag,Legislative,2025,,Current,SaskiaLudwig17,True,100.0,f,Germany,CDU,,Legislative,Bundestag,2019,Previous,
Saskia Weishaupt,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,2025,Former,SaskiaLeaRaquel,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Schahina Gambir,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,schahinag,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Schahina Gambir,Female,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,schahinag,True,100.0,f,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sebastian Brehm,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2021,,Current,Brehm_inNBGNord,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Sebastian Brehm,Male,Germany,Christian Social Union of Bavaria,member of the German Bundestag,Legislative,2017,2021,Former,Brehm_inNBGNord,True,100.0,m,Germany,CSU,,Legislative,Bundestag,2021,Incumbent,
Sebastian Fiedler,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,fiedelseb,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Fiedler,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,fiedelseb,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Hartmann,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2017,2021,Former,sebast_hartmann,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Hartmann,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,sebast_hartmann,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Hartmann,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,sebast_hartmann,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Münzenmaier,Male,Germany,German Freedom Party,member of the German Bundestag,Legislative,2017,2021,Former,S_Muenzenmaier,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Münzenmaier,Male,Germany,German Freedom Party,member of the German Bundestag,Legislative,2025,,Current,S_Muenzenmaier,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Münzenmaier,Male,Germany,German Freedom Party,member of the German Bundestag,Legislative,2021,,Current,S_Muenzenmaier,True,100.0,m,Germany,AfD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Roloff,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2021,,Current,SebRoloff,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Roloff,Male,Germany,Social Democratic Party of Germany,member of the German Bundestag,Legislative,2025,,Current,SebRoloff,True,100.0,m,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Sebastian Schäfer,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2025,,Current,sebastian_es_,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
Sebastian Schäfer,Male,Germany,Alliance '90/The Greens,member of the German Bundestag,Legislative,2021,,Current,sebastian_es_,True,100.0,m,Germany,The Greens,,Legislative,Bundestag,2021,Incumbent,
