Name,Gender,Country,Party,Position,Branch,YearTookOffice,YearLeftOffice,Status,Twitter,Has_Twitter,match_score,univ_Gender,univ_Country,univ_Party,univ_Position,univ_Branch,univ_Role,univ_YearTookOffice,univ_Status,univ_Region
Katherina Reiche,Female,Germany,Christian Democratic Union,,Executive,2025,,Current,,False,100.0,f,Germany,CDU,Federal Minister for Economic Affairs and Energy,Executive,Cabinet,2025,Incumbent,
Klara Geywitz,Female,Germany,Social Democratic Party of Germany,,Executive,2021,2025,Former,klara_geywitz,True,100.0,f,Germany,SPD,"Federal Minister for Housing, Urban Development and Building",Executive,Cabinet,2021,Previous,
Lars Klingbeil,Male,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,larsklingbeil,True,100.0,m,Germany,SPD,Vice Chancellor,Executive,Vice Chancellor,2025,Incumbent,
Lisa Paus,Female,Germany,Alliance '90/The Greens,,Executive,2022,2025,Former,lisapaus,True,100.0,f,Germany,Greens,"Federal Minister for Family Affairs, Senior Citizens, Women and Youth",Executive,Cabinet,2022,Previous,
Marco Buschmann,Male,Germany,Free Democratic Party,,Executive,2021,2024,Former,MarcoBuschmann,True,100.0,m,Germany,FDP,Federal Minister of Justice and Consumer Protection,Executive,Cabinet,2021,Previous,
Nancy Faeser,Female,Germany,Social Democratic Party of Germany,,Executive,2021,2025,Former,NancyFaeser,True,100.0,f,Germany,SPD,Federal Minister of the Interior and Community,Executive,Cabinet,2021,Previous,
Nina Warken,Female,Germany,Christian Democratic Union,,Executive,2025,,Current,ninawarken,True,100.0,f,Germany,CDU,Federal Minister of Health,Executive,Cabinet,2025,Incumbent,
Olaf Scholz,Male,Germany,Social Democratic Party of Germany,,Executive,2021,2025,Former,Bundeskanzler,True,100.0,m,Germany,SPD,Chancellor,Executive,Chancellor,2021,Previous,
Olaf Scholz,Male,Germany,Social Democratic Party of Germany,,Executive,2018,2021,Former,Bundeskanzler,True,100.0,m,Germany,SPD,Chancellor,Executive,Chancellor,2021,Previous,
Patrick Schnieder,Male,Germany,Christian Democratic Union,,Executive,2025,,Current,PSchnieder,True,100.0,m,Germany,CDU,Federal Minister for Transport,Executive,Cabinet,2025,Incumbent,
Peter Altmaier,Male,Germany,Christian Democratic Union,,Executive,2018,2021,Former,peteraltmaier,True,100.0,m,Germany,CDU,,Legislative,Bundestag,2017,Previous,
Reem Alabali Radovan,Female,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,ReemAlabali,True,100.0,f,Germany,SPD,,Legislative,Bundestag,2021,Incumbent,
Robert Habeck,Male,Germany,Alliance '90/The Greens,,Executive,2021,2025,Former,roberthabeck,True,100.0,m,Germany,Greens,Vice Chancellor,Executive,Vice Chancellor,2021,Previous,
Stefanie Hubig,Female,Germany,Social Democratic Party of Germany,,Executive,2025,,Current,,False,100.0,f,Germany,SPD,Federal Minister of Justice and Consumer Protection,Executive,Cabinet,2025,Incumbent,
Steffi Lemke,Female,Germany,Alliance '90/The Greens,,Executive,2021,2025,Former,SteffiLemke,True,100.0,f,Germany,Greens,"Federal Minister for the Environment, Nature Conservation, Nuclear Safety and Consumer Protection",Executive,Cabinet,2021,Previous,
Svenja Schulze,Female,Germany,Social Democratic Party of Germany,,Executive,2018,2021,Former,SvenjaSchulze68,True,100.0,f,Germany,SPD,Federal Minister for Economic Cooperation and Development,Executive,Cabinet,2021,Previous,
Svenja Schulze,Female,Germany,Social Democratic Party of Germany,,Executive,2021,2025,Former,SvenjaSchulze68,True,100.0,f,Germany,SPD,Federal Minister for Economic Cooperation and Development,Executive,Cabinet,2021,Previous,
